,Total Contributions,Max Give,Months Since Last Donation,Most Recent Give Amount,Number of Gives,Average Give Amount,strong envir support,very pro-gun control,dems in red seats,house races,gives in primaries,supports AZ campaigns,strong pp support,moderate dems,Networth,female,gender unsure,male,isWhite,isJewish,isAfam,isLatinx,isIrish,isAsian,Ethnicity unsure
103,50.0,150,58,150,1,150.0,0,0,0,0,0,0,0,0,13.664827193379326,0,0,1,1,0,0,0,0,0,0
104,50.0,100,241,100,1,100.0,0,0,0,0,0,0,0,0,13.729934150912639,0,0,1,1,0,0,0,0,0,0
105,50.0,100,52,100,1,100.0,0,0,0,0,0,0,0,0,13.728492999137355,0,0,1,1,0,0,0,0,0,0
106,350.0,500,52,100,8,187.5,0,1,0,0,0,1,1,0,14.012527769392145,0,0,1,1,0,0,0,0,0,0
107,100.0,1000,52,5,20,190.25,0,1,1,1,0,0,1,0,14.593890493035584,0,0,1,1,0,0,0,0,0,0
108,100.0,9000,52,9000,13,1760.2307692307693,0,0,0,0,1,0,0,0,15.229771677997967,1,0,0,0,1,0,0,0,0,0
109,100.0,500,52,100,9,201.44444444444446,0,1,1,0,0,1,0,0,14.24379465460626,1,0,0,1,0,0,0,0,0,0
110,100.0,1250,52,100,23,410.8695652173913,0,0,1,0,0,0,1,0,14.300831279321828,1,0,0,0,1,0,0,0,0,0
111,100.0,500,52,500,1,500.0,0,0,0,0,0,0,0,0,14.46008862492131,0,0,1,1,0,0,0,0,0,0
112,100.0,1000,52,500,13,415.46153846153845,0,1,1,0,1,1,0,0,13.743143070288323,0,0,1,0,0,1,0,0,0,0
113,100.0,2018,52,1250,21,593.7619047619048,0,0,1,0,0,0,0,0,14.704505321456146,0,0,1,0,0,1,0,0,0,0
114,100.0,3000,52,100,22,518.1818181818181,0,1,0,1,0,0,0,0,14.705753369232928,1,0,0,1,0,0,0,0,0,0
115,100.0,2018,52,175,15,752.0,0,0,0,0,0,0,0,0,14.056933223676857,1,0,0,1,0,0,0,0,0,0
116,100.0,500,19,250,6,195.0,0,0,0,0,0,0,0,0,13.835133757399532,1,0,0,1,0,0,0,0,0,0
117,100.0,200,19,200,13,47.30769230769231,0,0,0,0,0,0,1,0,13.313806538914502,1,0,0,1,0,0,0,0,0,0
118,100.0,100,138,100,1,100.0,0,0,0,0,0,0,0,0,13.120427504811543,0,0,1,1,0,0,0,0,0,0
119,120.0,10001,138,300,20,656.8,0,0,0,0,0,0,1,0,14.496038449167841,0,0,1,1,0,0,0,0,0,0
120,125.0,305,138,35,29,38.6551724137931,0,1,1,0,0,0,1,0,14.538120419641421,1,0,0,0,0,1,0,0,0,0
121,400.0,500,106,250,2,375.0,0,0,0,0,0,0,0,0,14.31046042617108,1,0,0,1,0,0,0,0,0,0
122,1.0,20,106,3,14,5.928571428571429,0,0,0,0,0,0,1,0,12.857566757156505,1,0,0,0,0,1,0,0,0,0
123,1.0,4,8,3,2,3.5299999713897705,0,0,0,0,0,0,0,0,12.117011897285801,1,0,0,1,0,0,0,0,0,0
124,1.56,500,8,5,10,73.7,0,0,0,1,1,0,0,0,12.801764096238541,1,0,0,1,0,0,0,0,0,0
125,2.0,500,8,10,30,40.166666666666664,1,1,1,0,0,0,1,0,13.885508524174256,1,0,0,1,0,0,0,0,0,0
126,3.0,400,8,5,30,62.93333333333333,1,0,1,0,0,0,1,0,14.506387663853314,1,0,0,0,0,1,0,0,0,0
127,3.0,41,8,9,13,10.461538461538462,0,0,0,0,0,0,0,1,12.891371609246317,0,0,1,1,0,0,0,0,0,0
128,3.0,250,34,20,6,170.16666666666666,0,0,0,0,0,0,0,0,14.45955257474762,0,1,0,0,0,0,0,1,0,0
129,3.0,300,34,5,17,75.11764705882354,0,1,0,1,0,0,0,0,13.29789862587579,0,0,1,1,0,0,0,0,0,0
130,3.0,100,34,8,14,24.642857142857142,0,0,1,0,0,0,1,1,14.778796319908826,0,0,1,1,0,0,0,0,0,0
131,3.0,5,7,5,1,5.0,0,0,0,0,0,0,0,0,11.31187358575567,0,0,1,1,0,0,0,0,0,0
132,3.0,5,28,5,1,5.0,0,0,0,0,0,0,0,0,11.591681190991887,1,0,0,1,0,0,0,0,0,0
133,3.0,5,20,5,1,5.0,0,0,0,0,0,0,0,0,11.487351213850799,0,0,1,1,0,0,0,0,0,0
134,4.0,90,20,7,20,15.1,0,0,0,0,0,0,0,0,12.992072443104735,1,0,0,0,0,1,0,0,0,0
135,4.0,50,20,13,11,17.363636363636363,0,0,1,0,0,0,1,0,13.05299400647893,0,0,1,1,0,0,0,0,0,0
136,5.0,500,20,20,30,183.26666666666668,1,0,1,0,0,0,1,1,15.682867639281351,0,1,0,0,0,0,0,0,1,0
137,5.0,500,20,36,23,73.0,1,0,1,0,0,0,1,0,15.651168404789882,0,0,1,1,0,0,0,0,0,0
138,5.0,1000,20,15,28,140.85714285714286,1,0,1,0,0,0,1,0,14.884534737294723,0,0,1,1,0,0,0,0,0,0
139,5.0,240,20,50,18,36.666666666666664,0,0,1,0,0,0,1,1,14.532282464052944,0,0,1,1,0,0,0,0,0,0
140,5.0,2500,20,10,29,353.0,1,0,1,0,0,0,1,0,14.541686242538008,1,0,0,1,0,0,0,0,0,0
141,5.0,500,20,10,28,150.96428571428572,1,0,1,0,0,0,1,0,14.751113993219915,1,0,0,1,0,0,0,0,0,0
142,5.0,250,20,25,29,33.758620689655174,0,0,1,0,0,0,1,0,13.896289302388599,0,0,1,1,0,0,0,0,0,0
143,5.0,150,20,60,18,41.27777777777778,0,0,0,0,0,0,0,0,13.979349865379342,1,0,0,1,0,0,0,0,0,0
144,5.0,1000,20,100,28,115.57142857142857,1,0,1,0,0,0,1,0,14.900719420702867,0,0,1,1,0,0,0,0,0,0
145,5.0,300,20,300,7,106.0,0,0,0,0,0,0,1,0,13.65602701701002,1,0,0,1,0,0,0,0,0,0
146,5.0,100,20,5,18,41.72222222222222,0,0,1,0,1,0,1,0,14.10723270829978,1,0,0,1,0,0,0,0,0,0
147,5.0,1000,20,510,30,90.5,0,0,1,0,0,0,1,1,14.217484244815138,1,0,0,0,0,1,0,0,0,0
148,5.0,1500,20,5,25,160.52,0,1,1,0,0,0,0,0,13.428831384024353,0,1,0,1,0,0,0,0,0,0
149,5.0,50,20,10,8,10.125,0,1,0,0,0,0,1,0,13.33325781368447,1,0,0,0,1,0,0,0,0,0
150,5.0,500,20,100,11,174.0909090909091,0,0,1,0,0,0,0,0,13.555648560214529,0,0,1,1,0,0,0,0,0,0
151,5.0,1000,20,5,20,114.1,0,1,0,0,0,0,1,0,13.518371912740738,1,0,0,1,0,0,0,0,0,0
152,5.0,300,20,5,15,26.133333333333333,0,0,0,0,0,0,0,0,13.172700915202025,1,0,0,1,0,0,0,0,0,0
153,5.0,100,20,15,12,25.166666666666668,0,0,1,0,0,0,0,0,13.254119445071657,0,0,1,0,0,1,0,0,0,0
154,5.0,500,8,50,8,323.4375,0,0,0,0,0,0,0,0,13.239543564717493,0,0,1,1,0,0,0,0,0,0
155,5.0,100,8,100,5,84.0,0,0,0,0,0,0,0,0,13.054919305907228,1,0,0,1,0,0,0,0,0,0
156,5.0,36,8,5,16,11.1875,0,0,0,0,0,0,0,0,13.744205730250671,1,0,0,1,0,0,0,0,0,0
